question_id,question_text,blooms_level,subject,verb_used,difficulty
BLOOM_00018,Propose an innovative caching strategy to reduce latency in Kafka Streaming Queues by 50%.,Create,Business Analytics,Propose,Hard
BLOOM_00019,Devise an end-to-end framework for automated model evaluation in OAuth 2.0 Authentication.,Create,Machine Learning,Devise,Hard
BLOOM_00020,Identify four common application scenarios for CAP Theorem.,Remember,Computer Science,Identify,Easy
BLOOM_00021,Classify why Transformer Attention Heads is preferred over TCP/IP Packet Routing for distributed processing. Provide concrete examples from Data Engineering.,Understand,Data Engineering,Classify,Easy-Medium
BLOOM_00022,Critique the proposed data engineering pipeline for RESTful Microservice Mesh regarding data integrity. Provide concrete examples from Machine Learning.,Evaluate,Machine Learning,Recommend,Hard
BLOOM_00023,Appraise the robustness of the fault-tolerance mechanism in Garbage Collection Algorithms.,Evaluate,Software Architecture,Recommend,Hard
BLOOM_00024,Propose a full database schema designed to support high-throughput Asynchronous I/O Event Loops operations. Explain all assumptions made.,Create,Chemistry,Propose,Hard
BLOOM_00025,Recall the standard definition of B-Trees and Indexing in modern systems. Provide concrete examples from Computer Science.,Remember,Computer Science,Recall,Easy
BLOOM_00026,What is the mathematical formulation of Asynchronous I/O Event Loops?,Remember,Data Engineering,Define,Easy
BLOOM_00027,Contrast the relationship between TCP/IP Packet Routing and TensorFlow Computational Graphs in system design. Provide concrete examples from Software Architecture.,Understand,Software Architecture,Contrast,Easy-Medium
BLOOM_00028,Construct a full database schema designed to support high-throughput TensorFlow Computational Graphs operations.,Create,Physics,Construct,Hard
BLOOM_00029,Design a novel fault-tolerant data pipeline for processing 10 million events/sec using Transformer Attention Heads.,Create,Physics,Design,Hard
BLOOM_00030,Classify the relationship between TensorFlow Computational Graphs and Kafka Streaming Queues in system design.,Understand,Machine Learning,Classify,Easy-Medium
BLOOM_00031,Describe the primary components of a Parquet Columnar Storage architecture. Provide concrete examples from Computer Science.,Remember,Computer Science,Describe,Easy
BLOOM_00032,Recall three key characteristics of TCP/IP Packet Routing.,Remember,Physics,Recall,Easy
BLOOM_00033,Interpret how Docker & Kubernetes Orchestration operates under high concurrency or heavy load.,Understand,Physics,Interpret,Easy-Medium
BLOOM_00034,Judge the ethical and privacy implications of running Gradient Boosting Decision Trees on personal datasets.,Evaluate,Machine Learning,Judge,Hard
BLOOM_00035,Critique the cost-benefit analysis of cloud deployment for Convolutional Neural Networks workloads.,Evaluate,Computer Science,Critique,Hard
BLOOM_00036,Explain why B-Trees and Indexing is preferred over Parquet Columnar Storage for distributed processing.,Understand,Machine Learning,Explain,Easy-Medium
BLOOM_00037,Recall the fundamental principles of B-Trees and Indexing.,Remember,Cybersecurity,Recall,Easy
BLOOM_00038,Solve the theoretical throughput of Docker & Kubernetes Orchestration when bandwidth is limited to 50 Mbps.,Apply,Software Architecture,Solve,Medium
BLOOM_00039,Demonstrate a python script to process Consensus Protocols (Raft/Paxos) using streaming data streams. Provide concrete examples from Chemistry.,Apply,Chemistry,Demonstrate,Medium
BLOOM_00040,Classify the significance of OAuth 2.0 Authentication in real-time data pipelines. Explain all assumptions made.,Understand,Machine Learning,Classify,Easy-Medium
BLOOM_00041,Validate the statistical significance of test results obtained from Parquet Columnar Storage.,Evaluate,Cybersecurity,Judge,Hard
BLOOM_00042,Formulate a original algorithm to solve the NP-hard constraint in CAP Theorem.,Create,Database Systems,Design,Hard
BLOOM_00043,Justify the cost-benefit analysis of cloud deployment for RESTful Microservice Mesh workloads.,Evaluate,Software Architecture,Justify,Hard
BLOOM_00044,List the term 'Convolutional Neural Networks' as defined in standard textbooks.,Remember,Database Systems,List,Easy
BLOOM_00045,Implement step-by-step calculations to determine the complexity of Linear Regression & Regularization. Provide concrete examples from Business Analytics.,Apply,Business Analytics,Implement,Medium
BLOOM_00046,State the fundamental principles of Zero-Knowledge Proofs. Explain all assumptions made.,Remember,Mathematics & Statistics,State,Easy
BLOOM_00047,Calculate the theoretical throughput of RESTful Microservice Mesh when bandwidth is limited to 5000 Mbps. Provide concrete examples from Software Architecture.,Apply,Software Architecture,Calculate,Medium
BLOOM_00048,Appraise the robustness of the fault-tolerance mechanism in Transformer Attention Heads.,Evaluate,Cybersecurity,Recommend,Hard
BLOOM_00049,Interpret how Transformer Attention Heads operates under high concurrency or heavy load.,Understand,Machine Learning,Interpret,Easy-Medium
BLOOM_00050,Develop an end-to-end framework for automated model evaluation in Kafka Streaming Queues. Explain all assumptions made.,Create,Database Systems,Develop,Hard
BLOOM_00051,Compare how failure modes in OAuth 2.0 Authentication impact system resilience and availability.,Analyze,Chemistry,Compare,Medium-Hard
BLOOM_00052,Recall the term 'Docker & Kubernetes Orchestration' as defined in standard textbooks.,Remember,Mathematics & Statistics,Recall,Easy
BLOOM_00053,Examine empirical benchmark results of CAP Theorem across different hardware configurations.,Analyze,Computer Science,Examine,Medium-Hard
BLOOM_00054,List the term 'Transformer Attention Heads' as defined in standard textbooks.,Remember,Mathematics & Statistics,List,Easy
BLOOM_00055,Investigate how failure modes in Convolutional Neural Networks impact system resilience and availability. Provide concrete examples from Database Systems.,Analyze,Database Systems,Investigate,Medium-Hard
BLOOM_00056,Judge the architectural decisions made when deploying TensorFlow Computational Graphs on edge devices.,Evaluate,Mathematics & Statistics,Judge,Hard
BLOOM_00057,Develop a comprehensive system architecture combining Redis In-Memory Caching and Garbage Collection Algorithms.,Create,Biology & Genomics,Develop,Hard
BLOOM_00058,Formulate a original algorithm to solve the NP-hard constraint in TensorFlow Computational Graphs.,Create,Software Architecture,Synthesize,Hard
BLOOM_00059,Validate the statistical significance of test results obtained from Garbage Collection Algorithms.,Evaluate,Physics,Appraise,Hard
BLOOM_00060,Appraise the cost-benefit analysis of cloud deployment for PyTorch Autograd workloads.,Evaluate,Chemistry,Appraise,Hard
BLOOM_00061,Formulate a comprehensive system architecture combining Asynchronous I/O Event Loops and Linear Regression & Regularization. Explain all assumptions made.,Create,Database Systems,Formulate,Hard
BLOOM_00062,Contrast the significance of Gradient Boosting Decision Trees in real-time data pipelines. Provide concrete examples from Software Architecture.,Understand,Software Architecture,Contrast,Easy-Medium
BLOOM_00063,Investigate the root causes of data drift in TensorFlow Computational Graphs pipelines over time. Provide concrete examples from Chemistry.,Analyze,Chemistry,Investigate,Medium-Hard
BLOOM_00064,Construct a disaster recovery plan for mission-critical enterprise systems using Vector Embeddings & RAG.,Create,Physics,Construct,Hard
BLOOM_00065,Outline the standard definition of Linear Regression & Regularization in modern systems. Provide concrete examples from Machine Learning.,Remember,Machine Learning,Outline,Easy
BLOOM_00066,Paraphrase why PostgreSQL Query Optimization is preferred over TCP/IP Packet Routing for distributed processing.,Understand,Chemistry,Paraphrase,Easy-Medium
BLOOM_00067,Apply the principles of PyTorch Autograd to solve an out-of-memory exception in big data pipelines.,Apply,Business Analytics,Apply,Medium
BLOOM_00068,Paraphrase the significance of TCP/IP Packet Routing in real-time data pipelines. Explain all assumptions made.,Understand,Business Analytics,Paraphrase,Easy-Medium
BLOOM_00069,Write an algorithm to Solve GraphQL vs REST APIs using data structures from Zero-Knowledge Proofs. Provide concrete examples from Mathematics & Statistics.,Apply,Mathematics & Statistics,Solve,Medium
BLOOM_00070,Interpret the core workflow when executing Gradient Boosting Decision Trees in production.,Understand,Biology & Genomics,Interpret,Easy-Medium
BLOOM_00071,Analyze how failure modes in Apache Spark Distributed Datasets impact system resilience and availability. Provide concrete examples from Physics.,Analyze,Physics,Analyze,Medium-Hard
BLOOM_00072,Validate the ethical and privacy implications of running OAuth 2.0 Authentication on personal datasets.,Evaluate,Computer Science,Validate,Hard
BLOOM_00073,Investigate how failure modes in Vector Embeddings & RAG impact system resilience and availability.,Analyze,Chemistry,Investigate,Medium-Hard
BLOOM_00074,Synthesize existing research on Kafka Streaming Queues to build an improved protocol for TCP/IP Packet Routing.,Create,Biology & Genomics,Propose,Hard
BLOOM_00075,Investigate the bottleneck performance when Parquet Columnar Storage interacts with TensorFlow Computational Graphs. Explain all assumptions made.,Analyze,Data Engineering,Investigate,Medium-Hard
BLOOM_00076,Construct the theoretical throughput of PyTorch Autograd when bandwidth is limited to 100 Mbps.,Apply,Software Architecture,Construct,Medium
BLOOM_00077,Differentiate the root causes of data drift in MapReduce ETL Pipelines pipelines over time.,Analyze,Chemistry,Differentiate,Medium-Hard
BLOOM_00078,Design a novel fault-tolerant data pipeline for processing 10 million events/sec using Vector Embeddings & RAG. Provide concrete examples from Computer Science.,Create,Computer Science,Design,Hard
BLOOM_00079,Summarize the core workflow when executing RESTful Microservice Mesh in production.,Understand,Chemistry,Summarize,Easy-Medium
BLOOM_00080,"Given a scenario with high latency, Use Consensus Protocols (Raft/Paxos) to minimize processing time. Explain all assumptions made.",Apply,Cybersecurity,Use,Medium
BLOOM_00081,Demonstrate a python script to process Zero-Knowledge Proofs using streaming data streams.,Apply,Database Systems,Demonstrate,Medium
BLOOM_00082,Recall the primary components of a Redis In-Memory Caching architecture.,Remember,Biology & Genomics,Recall,Easy
BLOOM_00083,Recommend whether Garbage Collection Algorithms or TensorFlow Computational Graphs is better suited for sub-millisecond query responses.,Evaluate,Mathematics & Statistics,Recommend,Hard
BLOOM_00084,Apply the principles of CAP Theorem to solve an out-of-memory exception in big data pipelines.,Apply,Chemistry,Calculate,Medium
BLOOM_00085,Synthesize existing research on Transformer Attention Heads to build an improved protocol for Asynchronous I/O Event Loops.,Create,Machine Learning,Formulate,Hard
BLOOM_00086,Recommend the ethical and privacy implications of running TensorFlow Computational Graphs on personal datasets.,Evaluate,Chemistry,Recommend,Hard
BLOOM_00087,Name four common application scenarios for PyTorch Autograd.,Remember,Software Architecture,Name,Easy
BLOOM_00088,Categorize empirical benchmark results of TCP/IP Packet Routing across different hardware configurations.,Analyze,Machine Learning,Categorize,Medium-Hard
BLOOM_00089,Validate the statistical significance of test results obtained from MapReduce ETL Pipelines. Provide concrete examples from Business Analytics.,Evaluate,Business Analytics,Judge,Hard
BLOOM_00090,Construct a disaster recovery plan for mission-critical enterprise systems using Vector Embeddings & RAG.,Create,Business Analytics,Construct,Hard
BLOOM_00091,List the main differences between Apache Spark Distributed Datasets and Transformer Attention Heads at a high level.,Remember,Software Architecture,List,Easy
BLOOM_00092,Investigate empirical benchmark results of Transformer Attention Heads across different hardware configurations.,Analyze,Physics,Investigate,Medium-Hard
BLOOM_00093,Compute how to scale Transformer Attention Heads across a multi-node cluster. Provide concrete examples from Data Engineering.,Apply,Data Engineering,Compute,Medium
BLOOM_00094,Critique the proposed data engineering pipeline for Gradient Boosting Decision Trees regarding data integrity.,Evaluate,Software Architecture,Recommend,Hard
BLOOM_00095,Validate the statistical significance of test results obtained from Gradient Boosting Decision Trees.,Evaluate,Data Engineering,Appraise,Hard
BLOOM_00096,Formulate a original algorithm to solve the NP-hard constraint in Convolutional Neural Networks.,Create,Database Systems,Devise,Hard
BLOOM_00097,Develop a disaster recovery plan for mission-critical enterprise systems using MapReduce ETL Pipelines.,Create,Data Engineering,Develop,Hard
BLOOM_00098,Explain the significance of CAP Theorem in real-time data pipelines.,Understand,Chemistry,Explain,Easy-Medium
BLOOM_00099,Formulate a original algorithm to solve the NP-hard constraint in Zero-Knowledge Proofs. Explain all assumptions made.,Create,Machine Learning,Design,Hard
BLOOM_00100,Investigate how failure modes in Apache Spark Distributed Datasets impact system resilience and availability.,Analyze,Business Analytics,Investigate,Medium-Hard
BLOOM_00101,Differentiate the bottleneck performance when Transformer Attention Heads interacts with CAP Theorem.,Analyze,Cybersecurity,Differentiate,Medium-Hard
BLOOM_00102,Formulate a original algorithm to solve the NP-hard constraint in Kafka Streaming Queues. Provide concrete examples from Software Architecture.,Create,Software Architecture,Design,Hard
BLOOM_00103,Examine the impact of packet loss on Convolutional Neural Networks execution efficiency.,Analyze,Database Systems,Deconstruct,Medium-Hard
BLOOM_00104,Analyze how failure modes in Parquet Columnar Storage impact system resilience and availability. Explain all assumptions made.,Analyze,Database Systems,Analyze,Medium-Hard
BLOOM_00105,Recall three key characteristics of PostgreSQL Query Optimization. Provide concrete examples from Database Systems.,Remember,Database Systems,Recall,Easy
BLOOM_00106,Compute step-by-step calculations to determine the complexity of PyTorch Autograd.,Apply,Data Engineering,Compute,Medium
BLOOM_00107,Appraise the ethical and privacy implications of running B-Trees and Indexing on personal datasets.,Evaluate,Chemistry,Appraise,Hard
BLOOM_00108,Assess whether Vector Embeddings & RAG or Linear Regression & Regularization is better suited for sub-millisecond query responses.,Evaluate,Data Engineering,Assess,Hard
BLOOM_00109,Name the fundamental principles of TCP/IP Packet Routing.,Remember,Machine Learning,Name,Easy
BLOOM_00110,Validate the ethical and privacy implications of running TCP/IP Packet Routing on personal datasets.,Evaluate,Data Engineering,Validate,Hard
BLOOM_00111,Discuss how error handling is managed within TCP/IP Packet Routing.,Understand,Biology & Genomics,Discuss,Easy-Medium
BLOOM_00112,Critique the ethical and privacy implications of running GraphQL vs REST APIs on personal datasets. Provide concrete examples from Data Engineering.,Evaluate,Data Engineering,Critique,Hard
BLOOM_00113,Categorize the bottleneck performance when Garbage Collection Algorithms interacts with PyTorch Autograd. Provide concrete examples from Electrical Engineering.,Analyze,Electrical Engineering,Categorize,Medium-Hard
BLOOM_00114,Assess the ethical and privacy implications of running PyTorch Autograd on personal datasets. Explain all assumptions made.,Evaluate,Electrical Engineering,Assess,Hard
BLOOM_00115,Apply step-by-step calculations to determine the complexity of MapReduce ETL Pipelines.,Apply,Data Engineering,Apply,Medium
BLOOM_00116,Apply the principles of Vector Embeddings & RAG to solve an out-of-memory exception in big data pipelines.,Apply,Data Engineering,Calculate,Medium
BLOOM_00117,Interpret the significance of Linear Regression & Regularization in real-time data pipelines.,Understand,Business Analytics,Interpret,Easy-Medium
BLOOM_00118,Interpret the core workflow when executing Gradient Boosting Decision Trees in production. Explain all assumptions made.,Understand,Physics,Interpret,Easy-Medium
BLOOM_00119,Name the term 'Asynchronous I/O Event Loops' as defined in standard textbooks. Provide concrete examples from Mathematics & Statistics.,Remember,Mathematics & Statistics,Name,Easy
BLOOM_00120,Synthesize a disaster recovery plan for mission-critical enterprise systems using PyTorch Autograd.,Create,Machine Learning,Synthesize,Hard
BLOOM_00121,Validate the ethical and privacy implications of running Gradient Boosting Decision Trees on personal datasets.,Evaluate,Mathematics & Statistics,Validate,Hard
BLOOM_00122,Analyze empirical benchmark results of TCP/IP Packet Routing across different hardware configurations.,Analyze,Biology & Genomics,Analyze,Medium-Hard
BLOOM_00123,Formulate a disaster recovery plan for mission-critical enterprise systems using PostgreSQL Query Optimization. Explain all assumptions made.,Create,Computer Science,Formulate,Hard
BLOOM_00124,Examine the impact of packet loss on Transformer Attention Heads execution efficiency.,Analyze,Computer Science,Analyze,Medium-Hard
BLOOM_00125,Describe the main differences between Consensus Protocols (Raft/Paxos) and Transformer Attention Heads at a high level.,Remember,Mathematics & Statistics,Describe,Easy
BLOOM_00126,Synthesize existing research on Parquet Columnar Storage to build an improved protocol for Transformer Attention Heads.,Create,Mathematics & Statistics,Develop,Hard
BLOOM_00127,Critique the architectural decisions made when deploying RESTful Microservice Mesh on edge devices.,Evaluate,Electrical Engineering,Critique,Hard
BLOOM_00128,List four common application scenarios for Linear Regression & Regularization. Provide concrete examples from Machine Learning.,Remember,Machine Learning,List,Easy
BLOOM_00129,What is the mathematical formulation of TensorFlow Computational Graphs?,Remember,Mathematics & Statistics,Name,Easy
BLOOM_00130,Summarize the core workflow when executing Consensus Protocols (Raft/Paxos) in production.,Understand,Data Engineering,Summarize,Easy-Medium
BLOOM_00131,Justify the architectural decisions made when deploying Parquet Columnar Storage on edge devices. Explain all assumptions made.,Evaluate,Chemistry,Justify,Hard
BLOOM_00132,Differentiate and contrast the space vs time complexity of PyTorch Autograd and OAuth 2.0 Authentication.,Analyze,Data Engineering,Differentiate,Medium-Hard
BLOOM_00133,Synthesize a disaster recovery plan for mission-critical enterprise systems using Gradient Boosting Decision Trees.,Create,Database Systems,Synthesize,Hard
BLOOM_00134,Validate the statistical significance of test results obtained from Redis In-Memory Caching.,Evaluate,Biology & Genomics,Assess,Hard
BLOOM_00135,Recommend whether Transformer Attention Heads or TCP/IP Packet Routing is better suited for sub-millisecond query responses.,Evaluate,Cybersecurity,Recommend,Hard
BLOOM_00136,"In your own words, Classify the underlying mechanism of Parquet Columnar Storage.",Understand,Software Architecture,Classify,Easy-Medium
BLOOM_00137,Formulate a original algorithm to solve the NP-hard constraint in CAP Theorem. Provide concrete examples from Electrical Engineering.,Create,Electrical Engineering,Propose,Hard
BLOOM_00138,Analyze empirical benchmark results of PostgreSQL Query Optimization across different hardware configurations.,Analyze,Biology & Genomics,Analyze,Medium-Hard
BLOOM_00139,"In your own words, Summarize the underlying mechanism of Asynchronous I/O Event Loops. Provide concrete examples from Business Analytics.",Understand,Business Analytics,Summarize,Easy-Medium
BLOOM_00140,Deconstruct the architecture of GraphQL vs REST APIs into its constituent microservices. Explain all assumptions made.,Analyze,Biology & Genomics,Categorize,Medium-Hard
BLOOM_00141,Paraphrase how error handling is managed within OAuth 2.0 Authentication.,Understand,Business Analytics,Paraphrase,Easy-Medium
BLOOM_00142,What is the mathematical formulation of Transformer Attention Heads?,Remember,Electrical Engineering,Describe,Easy
BLOOM_00143,Demonstrate how to scale MapReduce ETL Pipelines across a multi-node cluster.,Apply,Chemistry,Demonstrate,Medium
BLOOM_00144,Design a disaster recovery plan for mission-critical enterprise systems using Redis In-Memory Caching. Provide concrete examples from Biology & Genomics.,Create,Biology & Genomics,Design,Hard
BLOOM_00145,Define the main differences between CAP Theorem and PostgreSQL Query Optimization at a high level. Explain all assumptions made.,Remember,Chemistry,Define,Easy
BLOOM_00146,Differentiate the security vulnerabilities inherent in implementing Transformer Attention Heads.,Analyze,Cybersecurity,Differentiate,Medium-Hard
BLOOM_00147,Validate the statistical significance of test results obtained from Linear Regression & Regularization.,Evaluate,Computer Science,Validate,Hard
BLOOM_00148,Demonstrate the theoretical throughput of Parquet Columnar Storage when bandwidth is limited to 10 Mbps. Explain all assumptions made.,Apply,Business Analytics,Demonstrate,Medium
BLOOM_00149,Describe the primary components of a Gradient Boosting Decision Trees architecture. Explain all assumptions made.,Remember,Electrical Engineering,Describe,Easy
BLOOM_00150,"Given a scenario with high latency, Solve Gradient Boosting Decision Trees to minimize processing time.",Apply,Cybersecurity,Solve,Medium
BLOOM_00151,Paraphrase the main trade-offs associated with using PostgreSQL Query Optimization.,Understand,Mathematics & Statistics,Paraphrase,Easy-Medium
BLOOM_00152,Classify the significance of CAP Theorem in real-time data pipelines. Provide concrete examples from Machine Learning.,Understand,Machine Learning,Classify,Easy-Medium
BLOOM_00153,Identify the standard definition of GraphQL vs REST APIs in modern systems. Explain all assumptions made.,Remember,Cybersecurity,Identify,Easy
BLOOM_00154,Investigate the root causes of data drift in B-Trees and Indexing pipelines over time.,Analyze,Biology & Genomics,Investigate,Medium-Hard
BLOOM_00155,Describe the standard definition of Convolutional Neural Networks in modern systems.,Remember,Cybersecurity,Describe,Easy
BLOOM_00156,Define four common application scenarios for TensorFlow Computational Graphs.,Remember,Physics,Define,Easy
BLOOM_00157,What is the mathematical formulation of PostgreSQL Query Optimization?,Remember,Cybersecurity,List,Easy
BLOOM_00158,Judge the cost-benefit analysis of cloud deployment for Consensus Protocols (Raft/Paxos) workloads.,Evaluate,Physics,Judge,Hard
BLOOM_00159,List the standard definition of PyTorch Autograd in modern systems.,Remember,Physics,List,Easy
BLOOM_00160,Examine the root causes of data drift in TensorFlow Computational Graphs pipelines over time.,Analyze,Mathematics & Statistics,Examine,Medium-Hard
BLOOM_00161,Construct a comprehensive system architecture combining B-Trees and Indexing and CAP Theorem. Provide concrete examples from Data Engineering.,Create,Data Engineering,Construct,Hard
BLOOM_00162,Formulate a original algorithm to solve the NP-hard constraint in Convolutional Neural Networks.,Create,Business Analytics,Synthesize,Hard
BLOOM_00163,Differentiate the security vulnerabilities inherent in implementing Convolutional Neural Networks. Explain all assumptions made.,Analyze,Biology & Genomics,Differentiate,Medium-Hard
BLOOM_00164,Critique the proposed data engineering pipeline for TCP/IP Packet Routing regarding data integrity. Provide concrete examples from Electrical Engineering.,Evaluate,Electrical Engineering,Justify,Hard
BLOOM_00165,Assess the trade-offs of microservices vs monolithic architecture for Zero-Knowledge Proofs.,Evaluate,Database Systems,Assess,Hard
BLOOM_00166,Appraise whether RESTful Microservice Mesh or Transformer Attention Heads is better suited for sub-millisecond query responses. Provide concrete examples from Cybersecurity.,Evaluate,Cybersecurity,Appraise,Hard
BLOOM_00167,Compute the theoretical throughput of MapReduce ETL Pipelines when bandwidth is limited to 10000 Mbps. Provide concrete examples from Mathematics & Statistics.,Apply,Mathematics & Statistics,Compute,Medium
BLOOM_00168,Construct a comprehensive system architecture combining Transformer Attention Heads and Parquet Columnar Storage. Provide concrete examples from Machine Learning.,Create,Machine Learning,Construct,Hard
BLOOM_00169,Appraise the robustness of the fault-tolerance mechanism in PyTorch Autograd.,Evaluate,Physics,Justify,Hard
BLOOM_00170,Appraise the trade-offs of microservices vs monolithic architecture for PostgreSQL Query Optimization.,Evaluate,Computer Science,Appraise,Hard
BLOOM_00171,Apply the principles of Consensus Protocols (Raft/Paxos) to solve an out-of-memory exception in big data pipelines.,Apply,Chemistry,Apply,Medium
BLOOM_00172,Identify the term 'Redis In-Memory Caching' as defined in standard textbooks.,Remember,Data Engineering,Identify,Easy
BLOOM_00173,Calculate how to scale Consensus Protocols (Raft/Paxos) across a multi-node cluster.,Apply,Physics,Calculate,Medium
BLOOM_00174,Paraphrase the significance of GraphQL vs REST APIs in real-time data pipelines.,Understand,Database Systems,Paraphrase,Easy-Medium
BLOOM_00175,Interpret the main trade-offs associated with using Garbage Collection Algorithms.,Understand,Business Analytics,Interpret,Easy-Medium
BLOOM_00176,Synthesize existing research on PyTorch Autograd to build an improved protocol for B-Trees and Indexing.,Create,Computer Science,Design,Hard
BLOOM_00177,Examine the security vulnerabilities inherent in implementing CAP Theorem. Explain all assumptions made.,Analyze,Database Systems,Examine,Medium-Hard
BLOOM_00178,Validate the cost-benefit analysis of cloud deployment for TensorFlow Computational Graphs workloads.,Evaluate,Data Engineering,Validate,Hard
BLOOM_00179,Outline the main differences between GraphQL vs REST APIs and Vector Embeddings & RAG at a high level. Explain all assumptions made.,Remember,Biology & Genomics,Outline,Easy
BLOOM_00180,Design an end-to-end framework for automated model evaluation in OAuth 2.0 Authentication. Provide concrete examples from Mathematics & Statistics.,Create,Mathematics & Statistics,Design,Hard
BLOOM_00181,State the main differences between Kafka Streaming Queues and Parquet Columnar Storage at a high level.,Remember,Software Architecture,State,Easy
BLOOM_00182,Paraphrase the relationship between Zero-Knowledge Proofs and Consensus Protocols (Raft/Paxos) in system design.,Understand,Chemistry,Paraphrase,Easy-Medium
BLOOM_00183,Propose a full database schema designed to support high-throughput GraphQL vs REST APIs operations. Provide concrete examples from Electrical Engineering.,Create,Electrical Engineering,Propose,Hard
BLOOM_00184,Deconstruct the architecture of Zero-Knowledge Proofs into its constituent microservices.,Analyze,Database Systems,Examine,Medium-Hard
BLOOM_00185,Analyze the bottleneck performance when Redis In-Memory Caching interacts with B-Trees and Indexing.,Analyze,Mathematics & Statistics,Analyze,Medium-Hard
BLOOM_00186,Appraise the robustness of the fault-tolerance mechanism in Zero-Knowledge Proofs. Explain all assumptions made.,Evaluate,Chemistry,Appraise,Hard
BLOOM_00187,Judge the architectural decisions made when deploying Consensus Protocols (Raft/Paxos) on edge devices. Provide concrete examples from Mathematics & Statistics.,Evaluate,Mathematics & Statistics,Judge,Hard
BLOOM_00188,Describe the primary components of a Linear Regression & Regularization architecture. Explain all assumptions made.,Remember,Mathematics & Statistics,Describe,Easy
BLOOM_00189,Construct a disaster recovery plan for mission-critical enterprise systems using Asynchronous I/O Event Loops.,Create,Business Analytics,Construct,Hard
BLOOM_00190,Deconstruct empirical benchmark results of Consensus Protocols (Raft/Paxos) across different hardware configurations.,Analyze,Electrical Engineering,Deconstruct,Medium-Hard
BLOOM_00191,Apply the principles of Docker & Kubernetes Orchestration to solve an out-of-memory exception in big data pipelines.,Apply,Database Systems,Demonstrate,Medium
BLOOM_00192,Critique the proposed data engineering pipeline for Redis In-Memory Caching regarding data integrity. Explain all assumptions made.,Evaluate,Mathematics & Statistics,Judge,Hard
BLOOM_00193,Propose an innovative caching strategy to reduce latency in Apache Spark Distributed Datasets by 50%. Explain all assumptions made.,Create,Business Analytics,Design,Hard
BLOOM_00194,Develop a comprehensive system architecture combining RESTful Microservice Mesh and TensorFlow Computational Graphs.,Create,Electrical Engineering,Develop,Hard
BLOOM_00195,"In your own words, Summarize the underlying mechanism of Gradient Boosting Decision Trees. Provide concrete examples from Chemistry.",Understand,Chemistry,Summarize,Easy-Medium
BLOOM_00196,Demonstrate a python script to process GraphQL vs REST APIs using streaming data streams. Explain all assumptions made.,Apply,Electrical Engineering,Demonstrate,Medium
BLOOM_00197,Paraphrase the core workflow when executing PyTorch Autograd in production.,Understand,Biology & Genomics,Paraphrase,Easy-Medium
BLOOM_00198,Deconstruct the architecture of PyTorch Autograd into its constituent microservices.,Analyze,Biology & Genomics,Investigate,Medium-Hard
BLOOM_00199,Categorize how failure modes in RESTful Microservice Mesh impact system resilience and availability.,Analyze,Mathematics & Statistics,Categorize,Medium-Hard
