question_id,question_number,subject,question_text,predicted_blooms_level,confidence_score,cognitive_depth,identified_action_verb,estimated_difficulty,word_count
BANK_0027,Q27,Computer Networks,Consider a 100 Mbps link between earth station and satellite at altitude 2100 km. Calculate time taken to receive 1000 byte packet.,Apply,0.98,3,calculate,Medium,22
BANK_0028,Q28,Computer Networks,Consider a network using pure ALOHA protocol with 1000 bit frames and 1 Mbps rate. Calculate network throughput.,Apply,0.98,3,calculate,Medium,18
BANK_0029,Q29,Computer Networks,"In an IP-over-Ethernet network, machine X wishes to find MAC address of machine Y. Which protocol is used?",Apply,0.98,3,use,Medium,18
BANK_0030,Q30,Computer Networks,Which media access control protocol is used by IEEE 802.11 wireless LAN?,Apply,0.98,3,use,Medium,12
BANK_0031,Q31,Computer Networks,"[Computer Networks Item #31] In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is (Variant B1)",Apply,0.98,3,compute,Medium,21
BANK_0032,Q32,Computer Networks,"[Computer Networks Item #32] An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone? (Variant B1)",Apply,0.98,3,compute,Medium,37
BANK_0033,Q33,Computer Networks,"[Computer Networks Item #33] To send same bit sequence, NRZ encoding require (Variant B1)",Apply,0.98,3,compute,Medium,14
BANK_0034,Q34,Computer Networks,"[Computer Networks Item #34] If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively? (Variant B1)",Apply,0.6,3,compute,Medium,31
BANK_0035,Q35,Computer Networks,[Computer Networks Item #35] In networking terminology UTP means (Variant B1),Apply,0.98,3,compute,Medium,11
BANK_0036,Q36,Computer Networks,[Computer Networks Item #36] Physical topology of FDDI is? (Variant B1),Apply,0.98,3,compute,Medium,11
BANK_0037,Q37,Computer Networks,[Computer Networks Item #37] Bit stuffing refers to (Variant B1),Apply,0.98,3,compute,Medium,10
BANK_0038,Q38,Computer Networks,[Computer Networks Item #38] How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous? (Variant B1),Apply,0.98,3,compute,Medium,28
BANK_0039,Q39,Computer Networks,"[Computer Networks Item #39] What frequency range is used for microwave communications, satellite and radar? (Variant B1)",Apply,0.98,3,compute,Medium,17
BANK_0040,Q40,Computer Networks,[Computer Networks Item #40] A T-switch is used to (Variant B1),Apply,0.98,3,compute,Medium,11
BANK_0041,Q41,Computer Networks,[Computer Networks Item #41] Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames? (Variant B1),Apply,0.98,3,compute,Medium,27
BANK_0042,Q42,Computer Networks,"[Computer Networks Item #42] In Ethernet, which field is actually added at the physical layer and is not part of the frame? (Variant B1)",Apply,0.98,3,compute,Medium,24
BANK_0043,Q43,Computer Networks,[Computer Networks Item #43] The voltage ranges for a logic high and a logic low in RS-232 C standard is (Variant B1),Apply,0.98,3,compute,Medium,22
BANK_0044,Q44,Computer Networks,[Computer Networks Item #44] IEEE 1394 is related to (Variant B1),Apply,0.98,3,compute,Medium,11
BANK_0045,Q45,Computer Networks,[Computer Networks Item #45] One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth? (Variant B1),Apply,0.6,3,compute,Medium,22
BANK_0046,Q46,Computer Networks,[Computer Networks Item #46] Data is transmitted continuously at 2.048 Mbps for 10 hours and received 512 bits errors. What is the bit error rate? (Variant B1),Apply,0.6,3,compute,Medium,27
BANK_0047,Q47,Computer Networks,[Computer Networks Item #47] What is the bit rate of a video terminal unit with 80 characters/line and 100ms sweep time? (Variant B1),Apply,0.6,3,compute,Medium,23
BANK_0048,Q48,Computer Networks,[Computer Networks Item #48] The encoding technique used to transmit the signal in gigabit ethernet over fiber optic is (Variant B1),Apply,0.98,3,compute,Medium,21
BANK_0049,Q49,Computer Networks,[Computer Networks Item #49] Assume character code consists of 8 bits. Calculate number of characters transmitted per second at 2400 baud rate. (Variant B1),Apply,0.98,3,calculate,Medium,24
BANK_0050,Q50,Computer Networks,[Computer Networks Item #50] What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz? (Variant B1),Apply,0.6,3,compute,Medium,21
BANK_0051,Q51,Computer Networks,[Computer Networks Item #51] How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode? (Variant B1),Apply,0.98,3,compute,Medium,29
BANK_0052,Q52,Computer Networks,[Computer Networks Item #52] By using an eight bit optical encoder the degree of resolution that can be obtained is (Variant B1),Apply,0.98,3,compute,Medium,22
BANK_0053,Q53,Computer Networks,[Computer Networks Item #53] Phase transition for each bit are used in (Variant B1),Apply,0.98,3,compute,Medium,14
BANK_0054,Q54,Computer Networks,"[Computer Networks Item #54] In Ethernet when Manchester encoding is used, the bit rate is (Variant B1)",Apply,0.74,3,compute,Medium,17
BANK_0055,Q55,Computer Networks,[Computer Networks Item #55] Purpose of a start bit in RS-232 serial communication protocol is (Variant B1),Apply,0.98,3,compute,Medium,17
BANK_0056,Q56,Computer Networks,[Computer Networks Item #56] Consider an Ethernet segment with transmission speed of 10^8 bits/sec and max segment length 500m. Calculate min frame size. (Variant B1),Apply,0.98,3,calculate,Medium,25
BANK_0057,Q57,Computer Networks,[Computer Networks Item #57] Consider a 100 Mbps link between earth station and satellite at altitude 2100 km. Calculate time taken to receive 1000 byte packet. (Variant B1),Apply,0.98,3,calculate,Medium,28
BANK_0058,Q58,Computer Networks,[Computer Networks Item #58] Consider a network using pure ALOHA protocol with 1000 bit frames and 1 Mbps rate. Calculate network throughput. (Variant B1),Apply,0.98,3,calculate,Medium,24
BANK_0059,Q59,Computer Networks,"[Computer Networks Item #59] In an IP-over-Ethernet network, machine X wishes to find MAC address of machine Y. Which protocol is used? (Variant B1)",Apply,0.98,3,compute,Medium,24
BANK_0060,Q60,Computer Networks,[Computer Networks Item #60] Which media access control protocol is used by IEEE 802.11 wireless LAN? (Variant B1),Apply,0.98,3,compute,Medium,18
BANK_0061,Q61,Computer Networks,"[Computer Networks Item #61] In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is (Variant B2)",Apply,0.98,3,compute,Medium,21
BANK_0062,Q62,Computer Networks,"[Computer Networks Item #62] An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone? (Variant B2)",Apply,0.98,3,compute,Medium,37
BANK_0063,Q63,Computer Networks,"[Computer Networks Item #63] To send same bit sequence, NRZ encoding require (Variant B2)",Apply,0.98,3,compute,Medium,14
BANK_0064,Q64,Computer Networks,"[Computer Networks Item #64] If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively? (Variant B2)",Apply,0.6,3,compute,Medium,31
BANK_0065,Q65,Computer Networks,[Computer Networks Item #65] In networking terminology UTP means (Variant B2),Apply,0.98,3,compute,Medium,11
BANK_0066,Q66,Computer Networks,[Computer Networks Item #66] Physical topology of FDDI is? (Variant B2),Apply,0.98,3,compute,Medium,11
BANK_0067,Q67,Computer Networks,[Computer Networks Item #67] Bit stuffing refers to (Variant B2),Apply,0.98,3,compute,Medium,10
BANK_0068,Q68,Computer Networks,[Computer Networks Item #68] How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous? (Variant B2),Apply,0.98,3,compute,Medium,28
BANK_0069,Q69,Computer Networks,"[Computer Networks Item #69] What frequency range is used for microwave communications, satellite and radar? (Variant B2)",Apply,0.98,3,compute,Medium,17
BANK_0070,Q70,Computer Networks,[Computer Networks Item #70] A T-switch is used to (Variant B2),Apply,0.98,3,compute,Medium,11
BANK_0071,Q71,Computer Networks,[Computer Networks Item #71] Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames? (Variant B2),Apply,0.98,3,compute,Medium,27
BANK_0072,Q72,Computer Networks,"[Computer Networks Item #72] In Ethernet, which field is actually added at the physical layer and is not part of the frame? (Variant B2)",Apply,0.98,3,compute,Medium,24
BANK_0073,Q73,Computer Networks,[Computer Networks Item #73] The voltage ranges for a logic high and a logic low in RS-232 C standard is (Variant B2),Apply,0.98,3,compute,Medium,22
BANK_0074,Q74,Computer Networks,[Computer Networks Item #74] IEEE 1394 is related to (Variant B2),Apply,0.98,3,compute,Medium,11
BANK_0075,Q75,Computer Networks,[Computer Networks Item #75] One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth? (Variant B2),Apply,0.6,3,compute,Medium,22
BANK_0076,Q76,Computer Networks,[Computer Networks Item #76] Data is transmitted continuously at 2.048 Mbps for 10 hours and received 512 bits errors. What is the bit error rate? (Variant B2),Apply,0.6,3,compute,Medium,27
BANK_0077,Q77,Computer Networks,[Computer Networks Item #77] What is the bit rate of a video terminal unit with 80 characters/line and 100ms sweep time? (Variant B2),Apply,0.6,3,compute,Medium,23
BANK_0078,Q78,Computer Networks,[Computer Networks Item #78] The encoding technique used to transmit the signal in gigabit ethernet over fiber optic is (Variant B2),Apply,0.98,3,compute,Medium,21
BANK_0079,Q79,Computer Networks,[Computer Networks Item #79] Assume character code consists of 8 bits. Calculate number of characters transmitted per second at 2400 baud rate. (Variant B2),Apply,0.98,3,calculate,Medium,24
BANK_0080,Q80,Computer Networks,[Computer Networks Item #80] What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz? (Variant B2),Apply,0.6,3,compute,Medium,21
BANK_0081,Q81,Computer Networks,[Computer Networks Item #81] How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode? (Variant B2),Apply,0.98,3,compute,Medium,29
BANK_0082,Q82,Computer Networks,[Computer Networks Item #82] By using an eight bit optical encoder the degree of resolution that can be obtained is (Variant B2),Apply,0.98,3,compute,Medium,22
BANK_0083,Q83,Computer Networks,[Computer Networks Item #83] Phase transition for each bit are used in (Variant B2),Apply,0.98,3,compute,Medium,14
BANK_0084,Q84,Computer Networks,"[Computer Networks Item #84] In Ethernet when Manchester encoding is used, the bit rate is (Variant B2)",Apply,0.74,3,compute,Medium,17
BANK_0085,Q85,Computer Networks,[Computer Networks Item #85] Purpose of a start bit in RS-232 serial communication protocol is (Variant B2),Apply,0.98,3,compute,Medium,17
BANK_0086,Q86,Computer Networks,[Computer Networks Item #86] Consider an Ethernet segment with transmission speed of 10^8 bits/sec and max segment length 500m. Calculate min frame size. (Variant B2),Apply,0.98,3,calculate,Medium,25
BANK_0087,Q87,Computer Networks,[Computer Networks Item #87] Consider a 100 Mbps link between earth station and satellite at altitude 2100 km. Calculate time taken to receive 1000 byte packet. (Variant B2),Apply,0.98,3,calculate,Medium,28
BANK_0088,Q88,Computer Networks,[Computer Networks Item #88] Consider a network using pure ALOHA protocol with 1000 bit frames and 1 Mbps rate. Calculate network throughput. (Variant B2),Apply,0.98,3,calculate,Medium,24
BANK_0089,Q89,Computer Networks,"[Computer Networks Item #89] In an IP-over-Ethernet network, machine X wishes to find MAC address of machine Y. Which protocol is used? (Variant B2)",Apply,0.98,3,compute,Medium,24
BANK_0090,Q90,Computer Networks,[Computer Networks Item #90] Which media access control protocol is used by IEEE 802.11 wireless LAN? (Variant B2),Apply,0.98,3,compute,Medium,18
BANK_0091,Q91,Computer Networks,"[Computer Networks Item #91] In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is (Variant B3)",Apply,0.98,3,compute,Medium,21
BANK_0092,Q92,Computer Networks,"[Computer Networks Item #92] An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone? (Variant B3)",Apply,0.98,3,compute,Medium,37
BANK_0093,Q93,Computer Networks,"[Computer Networks Item #93] To send same bit sequence, NRZ encoding require (Variant B3)",Apply,0.98,3,compute,Medium,14
BANK_0094,Q94,Computer Networks,"[Computer Networks Item #94] If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively? (Variant B3)",Apply,0.6,3,compute,Medium,31
BANK_0095,Q95,Computer Networks,[Computer Networks Item #95] In networking terminology UTP means (Variant B3),Apply,0.98,3,compute,Medium,11
BANK_0096,Q96,Computer Networks,[Computer Networks Item #96] Physical topology of FDDI is? (Variant B3),Apply,0.98,3,compute,Medium,11
BANK_0097,Q97,Computer Networks,[Computer Networks Item #97] Bit stuffing refers to (Variant B3),Apply,0.98,3,compute,Medium,10
BANK_0098,Q98,Computer Networks,[Computer Networks Item #98] How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous? (Variant B3),Apply,0.98,3,compute,Medium,28
BANK_0099,Q99,Computer Networks,"[Computer Networks Item #99] What frequency range is used for microwave communications, satellite and radar? (Variant B3)",Apply,0.98,3,compute,Medium,17
BANK_0100,Q100,Computer Networks,[Computer Networks Item #100] A T-switch is used to (Variant B3),Apply,0.98,3,compute,Medium,11
BANK_0101,Q101,Computer Networks,[Computer Networks Item #101] Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames? (Variant B3),Apply,0.98,3,compute,Medium,27
BANK_0102,Q102,Computer Networks,"[Computer Networks Item #102] In Ethernet, which field is actually added at the physical layer and is not part of the frame? (Variant B3)",Apply,0.98,3,compute,Medium,24
BANK_0103,Q103,Computer Networks,[Computer Networks Item #103] The voltage ranges for a logic high and a logic low in RS-232 C standard is (Variant B3),Apply,0.98,3,compute,Medium,22
BANK_0104,Q104,Computer Networks,[Computer Networks Item #104] IEEE 1394 is related to (Variant B3),Apply,0.98,3,compute,Medium,11
BANK_0105,Q105,Computer Networks,[Computer Networks Item #105] One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth? (Variant B3),Apply,0.6,3,compute,Medium,22
BANK_0106,Q106,Computer Networks,[Computer Networks Item #106] Data is transmitted continuously at 2.048 Mbps for 10 hours and received 512 bits errors. What is the bit error rate? (Variant B3),Apply,0.6,3,compute,Medium,27
BANK_0107,Q107,Computer Networks,[Computer Networks Item #107] What is the bit rate of a video terminal unit with 80 characters/line and 100ms sweep time? (Variant B3),Apply,0.6,3,compute,Medium,23
BANK_0108,Q108,Computer Networks,[Computer Networks Item #108] The encoding technique used to transmit the signal in gigabit ethernet over fiber optic is (Variant B3),Apply,0.98,3,compute,Medium,21
BANK_0109,Q109,Computer Networks,[Computer Networks Item #109] Assume character code consists of 8 bits. Calculate number of characters transmitted per second at 2400 baud rate. (Variant B3),Apply,0.98,3,calculate,Medium,24
BANK_0110,Q110,Computer Networks,[Computer Networks Item #110] What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz? (Variant B3),Apply,0.6,3,compute,Medium,21
BANK_0111,Q111,Computer Networks,[Computer Networks Item #111] How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode? (Variant B3),Apply,0.98,3,compute,Medium,29
BANK_0112,Q112,Computer Networks,[Computer Networks Item #112] By using an eight bit optical encoder the degree of resolution that can be obtained is (Variant B3),Apply,0.98,3,compute,Medium,22
BANK_0113,Q113,Computer Networks,[Computer Networks Item #113] Phase transition for each bit are used in (Variant B3),Apply,0.98,3,compute,Medium,14
BANK_0114,Q114,Computer Networks,"[Computer Networks Item #114] In Ethernet when Manchester encoding is used, the bit rate is (Variant B3)",Apply,0.74,3,compute,Medium,17
BANK_0115,Q115,Computer Networks,[Computer Networks Item #115] Purpose of a start bit in RS-232 serial communication protocol is (Variant B3),Apply,0.98,3,compute,Medium,17
BANK_0116,Q116,Computer Networks,[Computer Networks Item #116] Consider an Ethernet segment with transmission speed of 10^8 bits/sec and max segment length 500m. Calculate min frame size. (Variant B3),Apply,0.98,3,calculate,Medium,25
BANK_0117,Q117,Computer Networks,[Computer Networks Item #117] Consider a 100 Mbps link between earth station and satellite at altitude 2100 km. Calculate time taken to receive 1000 byte packet. (Variant B3),Apply,0.98,3,calculate,Medium,28
BANK_0118,Q118,Computer Networks,[Computer Networks Item #118] Consider a network using pure ALOHA protocol with 1000 bit frames and 1 Mbps rate. Calculate network throughput. (Variant B3),Apply,0.98,3,calculate,Medium,24
BANK_0119,Q119,Computer Networks,"[Computer Networks Item #119] In an IP-over-Ethernet network, machine X wishes to find MAC address of machine Y. Which protocol is used? (Variant B3)",Apply,0.98,3,compute,Medium,24
BANK_0120,Q120,Computer Networks,[Computer Networks Item #120] Which media access control protocol is used by IEEE 802.11 wireless LAN? (Variant B3),Apply,0.98,3,compute,Medium,18
BANK_0121,Q121,Computer Networks,"[Computer Networks Item #121] In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is (Variant B4)",Apply,0.98,3,compute,Medium,21
BANK_0122,Q122,Computer Networks,"[Computer Networks Item #122] An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone? (Variant B4)",Apply,0.98,3,compute,Medium,37
BANK_0123,Q123,Computer Networks,"[Computer Networks Item #123] To send same bit sequence, NRZ encoding require (Variant B4)",Apply,0.98,3,compute,Medium,14
BANK_0124,Q124,Computer Networks,"[Computer Networks Item #124] If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively? (Variant B4)",Apply,0.6,3,compute,Medium,31
BANK_0125,Q125,Computer Networks,[Computer Networks Item #125] In networking terminology UTP means (Variant B4),Apply,0.98,3,compute,Medium,11
BANK_0126,Q126,Computer Networks,[Computer Networks Item #126] Physical topology of FDDI is? (Variant B4),Apply,0.98,3,compute,Medium,11
BANK_0127,Q127,Computer Networks,[Computer Networks Item #127] Bit stuffing refers to (Variant B4),Apply,0.98,3,compute,Medium,10
BANK_0128,Q128,Computer Networks,[Computer Networks Item #128] How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous? (Variant B4),Apply,0.98,3,compute,Medium,28
BANK_0129,Q129,Computer Networks,"[Computer Networks Item #129] What frequency range is used for microwave communications, satellite and radar? (Variant B4)",Apply,0.98,3,compute,Medium,17
BANK_0130,Q130,Computer Networks,[Computer Networks Item #130] A T-switch is used to (Variant B4),Apply,0.98,3,compute,Medium,11
BANK_0131,Q131,Computer Networks,[Computer Networks Item #131] Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames? (Variant B4),Apply,0.98,3,compute,Medium,27
BANK_0132,Q132,Computer Networks,"[Computer Networks Item #132] In Ethernet, which field is actually added at the physical layer and is not part of the frame? (Variant B4)",Apply,0.98,3,compute,Medium,24
BANK_0133,Q133,Computer Networks,[Computer Networks Item #133] The voltage ranges for a logic high and a logic low in RS-232 C standard is (Variant B4),Apply,0.98,3,compute,Medium,22
BANK_0134,Q134,Computer Networks,[Computer Networks Item #134] IEEE 1394 is related to (Variant B4),Apply,0.98,3,compute,Medium,11
BANK_0135,Q135,Computer Networks,[Computer Networks Item #135] One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth? (Variant B4),Apply,0.6,3,compute,Medium,22
BANK_0136,Q136,Computer Networks,[Computer Networks Item #136] Data is transmitted continuously at 2.048 Mbps for 10 hours and received 512 bits errors. What is the bit error rate? (Variant B4),Apply,0.6,3,compute,Medium,27
BANK_0137,Q137,Computer Networks,[Computer Networks Item #137] What is the bit rate of a video terminal unit with 80 characters/line and 100ms sweep time? (Variant B4),Apply,0.6,3,compute,Medium,23
BANK_0138,Q138,Computer Networks,[Computer Networks Item #138] The encoding technique used to transmit the signal in gigabit ethernet over fiber optic is (Variant B4),Apply,0.98,3,compute,Medium,21
BANK_0139,Q139,Computer Networks,[Computer Networks Item #139] Assume character code consists of 8 bits. Calculate number of characters transmitted per second at 2400 baud rate. (Variant B4),Apply,0.98,3,calculate,Medium,24
BANK_0140,Q140,Computer Networks,[Computer Networks Item #140] What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz? (Variant B4),Apply,0.6,3,compute,Medium,21
BANK_0141,Q141,Computer Networks,[Computer Networks Item #141] How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode? (Variant B4),Apply,0.98,3,compute,Medium,29
BANK_0142,Q142,Computer Networks,[Computer Networks Item #142] By using an eight bit optical encoder the degree of resolution that can be obtained is (Variant B4),Apply,0.98,3,compute,Medium,22
BANK_0143,Q143,Computer Networks,[Computer Networks Item #143] Phase transition for each bit are used in (Variant B4),Apply,0.98,3,compute,Medium,14
BANK_0144,Q144,Computer Networks,"[Computer Networks Item #144] In Ethernet when Manchester encoding is used, the bit rate is (Variant B4)",Apply,0.74,3,compute,Medium,17
BANK_0145,Q145,Computer Networks,[Computer Networks Item #145] Purpose of a start bit in RS-232 serial communication protocol is (Variant B4),Apply,0.98,3,compute,Medium,17
BANK_0146,Q146,Computer Networks,[Computer Networks Item #146] Consider an Ethernet segment with transmission speed of 10^8 bits/sec and max segment length 500m. Calculate min frame size. (Variant B4),Apply,0.98,3,calculate,Medium,25
BANK_0147,Q147,Computer Networks,[Computer Networks Item #147] Consider a 100 Mbps link between earth station and satellite at altitude 2100 km. Calculate time taken to receive 1000 byte packet. (Variant B4),Apply,0.98,3,calculate,Medium,28
BANK_0148,Q148,Computer Networks,[Computer Networks Item #148] Consider a network using pure ALOHA protocol with 1000 bit frames and 1 Mbps rate. Calculate network throughput. (Variant B4),Apply,0.98,3,calculate,Medium,24
BANK_0149,Q149,Computer Networks,"[Computer Networks Item #149] In an IP-over-Ethernet network, machine X wishes to find MAC address of machine Y. Which protocol is used? (Variant B4)",Apply,0.98,3,compute,Medium,24
BANK_0150,Q150,Computer Networks,[Computer Networks Item #150] Which media access control protocol is used by IEEE 802.11 wireless LAN? (Variant B4),Apply,0.98,3,compute,Medium,18
BANK_0151,Q151,Computer Networks,"[Computer Networks Item #151] In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is (Variant B5)",Apply,0.98,3,compute,Medium,21
BANK_0152,Q152,Computer Networks,"[Computer Networks Item #152] An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Which information can an intruder learn through sniffing at R2 alone? (Variant B5)",Apply,0.98,3,compute,Medium,37
BANK_0153,Q153,Computer Networks,"[Computer Networks Item #153] To send same bit sequence, NRZ encoding require (Variant B5)",Apply,0.98,3,compute,Medium,14
BANK_0154,Q154,Computer Networks,"[Computer Networks Item #154] If there are n devices in a network, what is the number of cable links required for a fully connected mesh and star topology respectively? (Variant B5)",Apply,0.6,3,compute,Medium,31
BANK_0155,Q155,Computer Networks,[Computer Networks Item #155] In networking terminology UTP means (Variant B5),Apply,0.98,3,compute,Medium,11
BANK_0156,Q156,Computer Networks,[Computer Networks Item #156] Physical topology of FDDI is? (Variant B5),Apply,0.98,3,compute,Medium,11
BANK_0157,Q157,Computer Networks,[Computer Networks Item #157] Bit stuffing refers to (Variant B5),Apply,0.98,3,compute,Medium,10
BANK_0158,Q158,Computer Networks,[Computer Networks Item #158] How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if transfer is synchronous? (Variant B5),Apply,0.98,3,compute,Medium,28
BANK_0159,Q159,Computer Networks,"[Computer Networks Item #159] What frequency range is used for microwave communications, satellite and radar? (Variant B5)",Apply,0.98,3,compute,Medium,17
BANK_0160,Q160,Computer Networks,[Computer Networks Item #160] A T-switch is used to (Variant B5),Apply,0.98,3,compute,Medium,11
BANK_0161,Q161,Computer Networks,[Computer Networks Item #161] Consider a 50 kbps satellite channel with a 500 ms round trip propagation delay. How long to transmit 1000 bit frames? (Variant B5),Apply,0.98,3,compute,Medium,27
BANK_0162,Q162,Computer Networks,"[Computer Networks Item #162] In Ethernet, which field is actually added at the physical layer and is not part of the frame? (Variant B5)",Apply,0.98,3,compute,Medium,24
BANK_0163,Q163,Computer Networks,[Computer Networks Item #163] The voltage ranges for a logic high and a logic low in RS-232 C standard is (Variant B5),Apply,0.98,3,compute,Medium,22
BANK_0164,Q164,Computer Networks,[Computer Networks Item #164] IEEE 1394 is related to (Variant B5),Apply,0.98,3,compute,Medium,11
BANK_0165,Q165,Computer Networks,[Computer Networks Item #165] One SAN switch has 24 ports supporting 8 Gbps Fiber Channel. What is the aggregate bandwidth? (Variant B5),Apply,0.6,3,compute,Medium,22
